,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,highway-L/100km,Norm_height,horsepower-binned,fuel-type-diesel,gas-type-diesel,aspiration-std,aspiration-turbo
11,0,192,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925,8.10344827586207,0.9080267558528428,Low,0,1,1,0
12,0,188,bmw,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970,8.392857142857142,0.9080267558528428,Medium,0,1,1,0
13,0,188,bmw,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105,8.392857142857142,0.9080267558528428,Medium,0,1,1,0
14,1,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565,9.4,0.931438127090301,Medium,0,1,1,0
15,0,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760,10.681818181818182,0.931438127090301,Medium,0,1,1,0
16,0,122.0,bmw,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315,10.681818181818182,0.8979933110367894,Medium,0,1,1,0
17,0,122.0,bmw,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880,11.75,0.9414715719063546,Medium,0,1,1,0
18,2,121,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,4.433962264150943,0.8896321070234114,Low,0,1,1,0
19,1,98,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,5.465116279069767,0.8695652173913044,Low,0,1,1,0
20,0,81,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,5.465116279069767,0.8695652173913044,Low,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,5.7317073170731705,0.8494983277591973,Low,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,6.184210526315789,0.8494983277591973,Low,0,1,1,0
23,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,7.833333333333333,0.8494983277591973,Low,0,1,0,1
24,1,148,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,6.184210526315789,0.8461538461538463,Low,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,6.184210526315789,0.8461538461538463,Low,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,6.184210526315789,0.8461538461538463,Low,0,1,1,0
27,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,7.833333333333333,0.8461538461538463,Low,0,1,0,1
28,-1,110,dodge,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,7.833333333333333,1.0,Low,0,1,1,0
29,3,145,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.60,3.90,7.0,145,5000,19,24,12964,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
30,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,4.351851851851852,0.8494983277591973,Low,0,1,1,0
31,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,6.184210526315789,0.8494983277591973,Low,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,5.595238095238095,0.8795986622073579,Low,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,6.911764705882353,0.8795986622073579,Low,0,1,1,0
34,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,6.911764705882353,0.8795986622073579,Low,0,1,1,0
35,0,110,honda,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,6.911764705882353,0.911371237458194,Low,0,1,1,0
36,0,78,honda,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,6.911764705882353,0.9749163879598662,Low,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895,7.121212121212121,0.8913043478260869,Low,0,1,1,0
38,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095,7.121212121212121,0.8913043478260869,Low,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845,7.121212121212121,0.9046822742474917,Low,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295,7.121212121212121,0.9046822742474917,Low,0,1,1,0
41,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945,8.392857142857142,0.9046822742474917,Low,0,1,1,0
42,1,107,honda,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,7.580645161290323,0.8528428093645485,Low,0,1,1,0
43,0,122.0,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,8.10344827586207,0.8946488294314382,Low,0,1,1,0
46,2,122.0,isuzu,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,8.10344827586207,0.8595317725752508,Low,0,1,1,0
47,0,145,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,12.368421052631579,0.882943143812709,Medium,0,1,1,0
48,0,122.0,jaguar,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,12.368421052631579,0.882943143812709,Medium,0,1,1,0
49,0,122.0,jaguar,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,13.823529411764707,0.7993311036789298,High,0,1,1,0
50,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195,7.580645161290323,0.9046822742474917,Low,0,1,1,0
51,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095,6.184210526315789,0.9046822742474917,Low,0,1,1,0
52,1,104,mazda,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795,6.184210526315789,0.9046822742474917,Low,0,1,1,0
53,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695,6.184210526315789,0.9046822742474917,Low,0,1,1,0
54,1,113,mazda,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395,6.184210526315789,0.9046822742474917,Low,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,10945,10.217391304347826,0.8294314381270904,Low,0,1,1,0
56,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,11845,10.217391304347826,0.8294314381270904,Low,0,1,1,0
57,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000,17,23,13645,10.217391304347826,0.8294314381270904,Low,0,1,1,0
58,3,150,mazda,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000,16,23,15645,10.217391304347826,0.8294314381270904,Medium,0,1,1,0
59,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,7.34375,0.8979933110367894,Low,0,1,1,0
60,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,7.34375,0.9280936454849499,Low,0,1,1,0
61,1,129,mazda,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,7.34375,0.8979933110367894,Low,0,1,1,0
62,0,115,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,7.34375,0.9280936454849499,Low,0,1,1,0
63,0,122.0,mazda,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,5.595238095238095,0.9280936454849499,Low,1,0,1,0
64,0,115,mazda,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,7.34375,0.9280936454849499,Low,0,1,1,0
65,0,118,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280,8.703703703703704,0.9096989966555185,Medium,0,1,1,0
66,0,122.0,mazda,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200,31,39,18344,6.0256410256410255,0.9096989966555185,Low,1,0,1,0
67,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,9.4,0.9448160535117057,Medium,1,0,0,1
68,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,9.4,0.9816053511705687,Medium,1,0,0,1
69,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,9.4,0.9180602006688964,Medium,1,0,0,1
70,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,9.4,0.9414715719063546,Medium,1,0,0,1
71,-1,122.0,mercedes-benz,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.10,8.3,155,4750,16,18,34184,13.055555555555555,0.9448160535117057,Medium,0,1,1,0
72,3,142,mercedes-benz,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.10,8.3,155,4750,16,18,35056,13.055555555555555,0.8494983277591973,Medium,0,1,1,0
73,0,122.0,mercedes-benz,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.80,3.35,8.0,184,4500,14,16,40960,14.6875,0.948160535117057,Medium,0,1,1,0
74,1,122.0,mercedes-benz,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.80,3.35,8.0,184,4500,14,16,45400,14.6875,0.9264214046822743,Medium,0,1,1,0
75,1,122.0,mercury,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503,9.791666666666666,0.9163879598662207,Medium,0,1,0,1
76,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,5.7317073170731705,0.8494983277591973,Low,0,1,1,0
77,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,6.184210526315789,0.8494983277591973,Low,0,1,1,0
78,2,161,mitsubishi,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,6.184210526315789,0.8494983277591973,Low,0,1,1,0
79,1,161,mitsubishi,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,7.833333333333333,0.8494983277591973,Low,0,1,0,1
80,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,7.833333333333333,0.8260869565217391,Low,0,1,0,1
81,3,153,mitsubishi,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,7.34375,0.8260869565217391,Low,0,1,1,0
82,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
83,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
84,3,122.0,mitsubishi,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
85,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,7.34375,0.8628762541806021,Low,0,1,1,0
86,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,7.34375,0.8628762541806021,Low,0,1,1,0
87,1,125,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,7.833333333333333,0.8628762541806021,Low,0,1,0,1
88,-1,137,mitsubishi,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,7.833333333333333,0.8628762541806021,Low,0,1,1,0
89,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,6.351351351351352,0.911371237458194,Low,0,1,1,0
90,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,4.7,0.911371237458194,Low,1,0,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,6.351351351351352,0.911371237458194,Low,0,1,1,0
92,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,6.351351351351352,0.911371237458194,Low,0,1,1,0
93,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,6.351351351351352,0.8946488294314382,Low,0,1,1,0
94,1,128,nissan,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,6.351351351351352,0.911371237458194,Low,0,1,1,0
95,1,128,nissan,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,6.351351351351352,0.8913043478260869,Low,0,1,1,0
96,1,122,nissan,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,6.351351351351352,0.911371237458194,Low,0,1,1,0
97,1,103,nissan,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,6.351351351351352,0.8946488294314382,Low,0,1,1,0
98,2,168,nissan,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,6.351351351351352,0.8913043478260869,Low,0,1,1,0
99,0,106,nissan,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,6.911764705882353,0.9147157190635452,Low,0,1,1,0
100,0,106,nissan,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,6.911764705882353,0.9147157190635452,Low,0,1,1,0
101,0,128,nissan,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499,10.681818181818182,0.9214046822742475,Medium,0,1,1,0
102,0,108,nissan,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,10.681818181818182,0.9381270903010034,Medium,0,1,1,0
103,0,108,nissan,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,9.4,0.9214046822742475,Medium,0,1,1,0
104,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199,9.4,0.831103678929766,Medium,0,1,1,0
105,3,194,nissan,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,10.217391304347826,0.831103678929766,High,0,1,0,1
106,1,231,nissan,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399,9.4,0.831103678929766,Medium,0,1,1,0
107,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,9.791666666666666,0.948160535117057,Low,0,1,1,0
108,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,13200,7.121212121212121,0.948160535117057,Low,1,0,0,1
109,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,9.791666666666666,0.9816053511705687,Low,0,1,1,0
110,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.70,3.52,21.0,95,4150,25,25,13860,9.4,0.9816053511705687,Low,1,0,0,1
111,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,9.791666666666666,0.948160535117057,Low,0,1,1,0
112,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,16900,7.121212121212121,0.948160535117057,Low,1,0,0,1
113,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,9.791666666666666,0.948160535117057,Low,0,1,1,0
114,0,122.0,peugot,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.70,3.52,21.0,95,4150,25,25,17075,9.4,0.9816053511705687,Low,1,0,0,1
115,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,9.791666666666666,0.948160535117057,Low,0,1,1,0
116,0,161,peugot,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.70,3.52,21.0,95,4150,28,33,17950,7.121212121212121,0.948160535117057,Low,1,0,0,1
117,0,161,peugot,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150,9.791666666666666,0.9364548494983278,Medium,0,1,0,1
118,1,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,5.7317073170731705,0.8494983277591973,Low,0,1,1,0
119,1,119,plymouth,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,7.833333333333333,0.8494983277591973,Low,0,1,0,1
120,1,154,plymouth,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,6.184210526315789,0.8461538461538463,Low,0,1,1,0
121,1,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,6.184210526315789,0.8494983277591973,Low,0,1,1,0
122,1,154,plymouth,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,6.184210526315789,0.8494983277591973,Low,0,1,1,0
123,-1,74,plymouth,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,7.833333333333333,1.0,Low,0,1,1,0
124,3,122.0,plymouth,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764,9.791666666666666,0.8394648829431439,Medium,0,1,0,1
125,3,186,porsche,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,8.703703703703704,0.8394648829431439,Medium,0,1,1,0
126,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,32528,9.4,0.8628762541806021,High,0,1,1,0
127,3,122.0,porsche,two,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,34028,9.4,0.8628762541806021,High,0,1,1,0
128,3,122.0,porsche,two,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.90,9.5,207,5900,17,25,37028,9.4,0.8628762541806021,High,0,1,1,0
130,0,122.0,renault,four,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.90,8.7,104,5125.369458128079,23,31,9295,7.580645161290323,0.9230769230769231,Low,0,1,1,0
